Dificulty,Category,Exercise,Visual Example
Beginner,Bodyweight,Box Jump to Pistol Squat,https://fitnessprogramer.com/wp-content/uploads/2023/02/Box-Jump-to-Pistol-Squat.gif
Beginner,Bodyweight,Box Pistol Squat,https://fitnessprogramer.com/wp-content/uploads/2022/07/Box-pistol-Squat.gif
Beginner,Bodyweight,Boxer Shuffle Cardio,https://fitnessprogramer.com/wp-content/uploads/2022/02/Boxer-Shuffle-Cardio.gif
Beginner,Bodyweight,Brachialis Pull-up,https://fitnessprogramer.com/wp-content/uploads/2021/04/Brachialis-Pull-up.gif
Beginner,Bodyweight,Bridge Hip Abduction,https://fitnessprogramer.com/wp-content/uploads/2021/05/Bridge-Hip-Abduction.gif
Beginner,Yoga,Bridge Pose,https://fitnessprogramer.com/wp-content/uploads/2022/05/Bridge-Pose.gif
Beginner,Bodyweight,Briskly Walking,https://fitnessprogramer.com/wp-content/uploads/2021/09/Briskly-Walking.gif
Beginner,Bodyweight,Bulgarian Split Squat Jump,https://fitnessprogramer.com/wp-content/uploads/2023/03/Bulgarian-Jump-Squat.gif
Intermediate,Bodyweight,Burpees,https://fitnessprogramer.com/wp-content/uploads/2021/02/burpees.gif
Beginner,Bodyweight,Butt Kicks,https://fitnessprogramer.com/wp-content/uploads/2021/10/Butt-Kicks.gif
Beginner,Bodyweight,Butterfly Sit-up,https://fitnessprogramer.com/wp-content/uploads/2022/07/Butterfly-Sit-up.gif
Beginner,Stretch,Butterfly Stretch,https://fitnessprogramer.com/wp-content/uploads/2021/02/Butterfly-Stretch.gif
Beginner,Machine,Cable Bent Over Row,https://fitnessprogramer.com/wp-content/uploads/2021/09/Cable-Bent-Over-Row.gif
Beginner,Machine,Cable Concentration Curl,https://fitnessprogramer.com/wp-content/uploads/2021/04/Cable-Concentration-Curl.gif
Beginner,Machine,Cable Concentration Tricep Extension,https://fitnessprogramer.com/wp-content/uploads/2021/09/Cable-Concentration-Extension-on-knee.gif
Beginner,Machine,Cable Crossover,https://fitnessprogramer.com/wp-content/uploads/2021/02/Cable-Crossover.gif
Beginner,Machine,Cable Crossover Lat Pulldown,https://fitnessprogramer.com/wp-content/uploads/2022/01/Cable-Crossover-Lat-Pulldown.gif
Beginner,Machine,Cable Crossover Triceps Extension,https://fitnessprogramer.com/wp-content/uploads/2022/02/Cable-Crossover-Triceps-Extension.gif
Beginner,Machine,Cable Curl,https://fitnessprogramer.com/wp-content/uploads/2021/02/cable-curl.gif
Beginner,Machine,Cable Donkey Kickback,https://fitnessprogramer.com/wp-content/uploads/2021/05/Cable-Donkey-Kickback.gif
Beginner,Machine,Cable External Shoulder Rotation,https://fitnessprogramer.com/wp-content/uploads/2021/04/Cable-External-Shoulder-Rotation.gif
Beginner,Machine,Cable Forward Lunge,https://fitnessprogramer.com/wp-content/uploads/2022/02/Cable-Forward-Lunge.gif
Beginner,Machine,Cable Front Raise,https://fitnessprogramer.com/wp-content/uploads/2021/02/Cable-Front-Raise.gif
Beginner,Machine,Cable Front Squat,https://fitnessprogramer.com/wp-content/uploads/2022/02/Cable-Front-Squat.gif
Beginner,Machine,Cable Goblet Squat,https://fitnessprogramer.com/wp-content/uploads/2021/05/Cable-Squat.gif
Beginner,Machine,Cable Half Kneeling Pallof Press,https://fitnessprogramer.com/wp-content/uploads/2022/02/Cable-Half-Kneeling-Pallof-Press.gif
Beginner,Machine,Cable Hip Abduction,https://fitnessprogramer.com/wp-content/uploads/2021/02/Cable-Hip-Abduction.gif
Beginner,Machine,Cable Hip Adduction,https://fitnessprogramer.com/wp-content/uploads/2021/05/Cable-Hips-Adduction.gif
Beginner,Machine,Cable Hip Extension,https://fitnessprogramer.com/wp-content/uploads/2021/02/Cable-Hip-Extension.gif
Beginner,Machine,Cable Incline Biceps Curl,https://fitnessprogramer.com/wp-content/uploads/2022/12/Cable-Incline-Biceps-Curl.gif
Beginner,Machine,Cable Incline Triceps Extension,https://fitnessprogramer.com/wp-content/uploads/2021/09/Cable-Incline-Triceps-Extension.gif
Beginner,Machine,Cable Internal Shoulder Rotation,https://fitnessprogramer.com/wp-content/uploads/2021/04/Cable-Internal-Shoulder-Rotation.gif
Beginner,Machine,Cable Kneeling Biceps Curl,https://fitnessprogramer.com/wp-content/uploads/2022/12/Cable-Kneeling-Biceps-Curl.gif
Beginner,Machine,Cable Lateral Raise,https://fitnessprogramer.com/wp-content/uploads/2021/07/one-arm-Cable-Lateral-Raise.gif
Beginner,Machine,Cable Lunge,https://fitnessprogramer.com/wp-content/uploads/2022/02/Cable-Lunge.gif
Beginner,Machine,Cable Lying Triceps Extension,https://fitnessprogramer.com/wp-content/uploads/2022/02/Cable-Lying-Triceps-Extension.gif
Beginner,Machine,Cable Lying Triceps Extensions,https://fitnessprogramer.com/wp-content/uploads/2021/04/Cable-Lying-Triceps-Extensions.gif
Beginner,Machine,Cable One Arm Lat Pulldown,https://fitnessprogramer.com/wp-content/uploads/2021/06/Cable-One-Arm-Lat-Pulldown.gif
Beginner,Machine,Cable One-Arm Overhead Triceps Extension,https://fitnessprogramer.com/wp-content/uploads/2021/06/Cable-One-Arm-Overhead-Triceps-Extension.gif
Beginner,Machine,Cable One-Arm Pulldown,https://fitnessprogramer.com/wp-content/uploads/2022/01/Cable-One-Arm-Pulldown.gif
Beginner,Machine,Cable One-Arm Wrist Curl On Floor,https://fitnessprogramer.com/wp-content/uploads/2021/09/Cable-One-Arm-Wrist-Curl-On-Floor.gif
Beginner,Machine,Cable Pull Through,https://fitnessprogramer.com/wp-content/uploads/2021/06/Cable-Pull-Through.gif
Beginner,Machine,Cable Pulldown Biceps Curl,https://fitnessprogramer.com/wp-content/uploads/2022/02/Cable-Pulldown-Bicep-Curl.gif
Beginner,Machine,Cable Pullover,https://fitnessprogramer.com/wp-content/uploads/2021/04/Lying-Extension-Pullover.gif
Beginner,Machine,Cable Rear Delt Fly,https://fitnessprogramer.com/wp-content/uploads/2021/02/cable-rear-delt-fly.gif
Beginner,Machine,Cable Rear Drive,https://fitnessprogramer.com/wp-content/uploads/2021/09/Cable-Rear-Drive.gif
Beginner,Machine,Cable Rear Pulldown,https://fitnessprogramer.com/wp-content/uploads/2021/08/Cable-Rear-Pulldown.gif
Beginner,Machine,Cable Reverse Grip EZ-bar Biceps Curl,https://fitnessprogramer.com/wp-content/uploads/2022/02/Cable-Reverse-Grip-EZ-bar-Biceps-Curl.gif
Beginner,Machine,Cable Rope Hammer Curl,https://fitnessprogramer.com/wp-content/uploads/2021/06/rope-bicep-curls.gif
Beginner,Machine,Cable Rope Lying Tricep Extension,https://fitnessprogramer.com/wp-content/uploads/2022/02/Cable-Rope-Lying-on-Floor-Tricep-Extension.gif
Beginner,Machine,Cable Rope Overhead Triceps Extension,https://fitnessprogramer.com/wp-content/uploads/2021/04/Cable-Rope-Overhead-Triceps-Extension.gif
Beginner,Machine,Cable Seated Cross Arm Twist,https://fitnessprogramer.com/wp-content/uploads/2022/04/Cable-Seated-Cross-Arm-Twist.gif
Beginner,Machine,Cable Seated Neck Extension with head harness,https://fitnessprogramer.com/wp-content/uploads/2022/02/Cable-Seated-Neck-Extension-with-head-harness.gif
Beginner,Machine,Cable Seated Neck Flexion with head harness,https://fitnessprogramer.com/wp-content/uploads/2022/02/Cable-Seated-Neck-Flexion-with-head-harness.gif
Beginner,Machine,Cable Seated Pullover,https://fitnessprogramer.com/wp-content/uploads/2021/10/Cable-Seated-Pullover.gif
Beginner,Machine,Cable Seated Shoulder Internal Rotation,https://fitnessprogramer.com/wp-content/uploads/2021/10/Cable-Seated-Shoulder-Internal-Rotation.gif
Beginner,Machine,Cable Seated Twist on Floor,https://fitnessprogramer.com/wp-content/uploads/2022/07/Cable-Seated-Twist-on-Floor.gif
Beginner,Machine,Cable Shoulder Press,https://fitnessprogramer.com/wp-content/uploads/2021/04/Cable-Shoulder-Press.gif
Beginner,Machine,Cable Shrug,https://fitnessprogramer.com/wp-content/uploads/2021/04/Cable-Shrug.gif
Beginner,Machine,Cable Side Bend,https://fitnessprogramer.com/wp-content/uploads/2021/09/Cable-Side-Bend.gif
Beginner,Machine,Cable Side Triceps Extension,https://fitnessprogramer.com/wp-content/uploads/2021/09/Cable-Side-Triceps-Extension.gif
Beginner,Machine,Cable Straight Arm Pulldown,https://fitnessprogramer.com/wp-content/uploads/2021/05/Cable-Straight-Arm-Pulldown.gif
Beginner,Machine,Cable Tricep Kickback,https://fitnessprogramer.com/wp-content/uploads/2021/02/Cable-Tricep-Kickback.gif
Beginner,Machine,Cable Twisting Standing High Row,https://fitnessprogramer.com/wp-content/uploads/2022/02/Cable-Twisting-Standing-high-Row.gif
Beginner,Machine,Cable Two Arm Curl on Incline Bench,https://fitnessprogramer.com/wp-content/uploads/2022/02/Cable-Two-Arm-Curl-on-Incline-Bench.gif
Beginner,Machine,Cable Upper Chest Crossovers,https://fitnessprogramer.com/wp-content/uploads/2021/10/Cable-Upper-Chest-Crossovers.gif
Beginner,Machine,Cable Upright Row,https://fitnessprogramer.com/wp-content/uploads/2021/02/Cable-Upright-Row.gif
Beginner,Machine,Cable Y Raise,https://fitnessprogramer.com/wp-content/uploads/2022/12/cable-y-raise.gif
Beginner,Bodyweight,Calf Raise,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Calf-Raise.gif
Beginner,Freeweight,Calf Raise with Resistance Band,https://fitnessprogramer.com/wp-content/uploads/2022/05/Calf-Raise-with-Resistance-Band.gif
Beginner,Stretch,Calf Stretch With Rope,https://fitnessprogramer.com/wp-content/uploads/2022/02/Calf-Stretch-with-Rope.gif
Beginner,Stretch,Calves Stretch Static Position,https://fitnessprogramer.com/wp-content/uploads/2022/02/Calves-Stretch-Static-Position.gif
Beginner,Yoga,Camel Pose,https://fitnessprogramer.com/wp-content/uploads/2022/05/Camel-Pose.png
Beginner,Bodyweight,Captains Chair Leg Raise,https://fitnessprogramer.com/wp-content/uploads/2021/05/Captains-Chair-Leg-Raise.gif
Beginner,Yoga,Cat Cow Pose,https://fitnessprogramer.com/wp-content/uploads/2021/02/cat-cow.gif
Beginner,Bodyweight,Chair Dips,https://fitnessprogramer.com/wp-content/uploads/2021/04/CHAIR-DIPS.gif
Beginner,Yoga,Chaturanga Dandasana | Low Plank Pose,https://fitnessprogramer.com/wp-content/uploads/2022/05/Chaturanga-Dandasana-Low-Plank-Pose.gif
Beginner,Stretch,Chest and Front of Shoulder Stretch,https://fitnessprogramer.com/wp-content/uploads/2022/02/Chest-and-Front-of-Shoulder-Stretch.gif
Beginner,Bodyweight,Chest Dips,https://fitnessprogramer.com/wp-content/uploads/2021/06/Chest-Dips.gif
Beginner,Machine,Chest Press Machine,https://fitnessprogramer.com/wp-content/uploads/2021/02/Chest-Press-Machine.gif
Beginner,Freeweight,Chest Supported Dumbbell Front Raises,https://fitnessprogramer.com/wp-content/uploads/2022/02/Chest-Supported-Dumbbell-Front-Raises.gif
Advanced,Bodyweight,Chest Tap Push-up,https://fitnessprogramer.com/wp-content/uploads/2022/07/Chest-Tap-Push-up.gif
Beginner,Yoga,Childs Pose To Cobra Pose,https://fitnessprogramer.com/wp-content/uploads/2022/05/Child-to-Cobra-Pose.gif
Beginner,Stretch,Chin Tuck,https://fitnessprogramer.com/wp-content/uploads/2021/06/Chin-Tuck.gif
Beginner,Bodyweight,Chin Up Around the Bar,https://fitnessprogramer.com/wp-content/uploads/2022/02/Chin-Up-Around-the-Bar.gif
Intermediate,Bodyweight,Chin-Up,https://fitnessprogramer.com/wp-content/uploads/2021/03/Chin-Up.gif
Beginner,Bodyweight,Clap Push-Up,https://fitnessprogramer.com/wp-content/uploads/2021/06/Clap-Push-Up.gif
Intermediate,Bodyweight,Climbing Monkey Bars,https://fitnessprogramer.com/wp-content/uploads/2022/12/Climbing-Monkey-Bars.gif
Intermediate,Barbell,Close Grip Barbell Curl,https://fitnessprogramer.com/wp-content/uploads/2022/07/close-grip-barbell-curl.gif
Intermediate,Barbell,Close Grip Bench Press,https://fitnessprogramer.com/wp-content/uploads/2021/02/Close-Grip-Bench-Press.gif
Beginner,Machine,Close Grip Cable Row,https://fitnessprogramer.com/wp-content/uploads/2021/06/close-grip-cable-row.gif
Intermediate,Bodyweight,Close Grip Chin Up,https://fitnessprogramer.com/wp-content/uploads/2021/04/Close-Grip-Chin-Up.gif
Beginner,Bodyweight,Close Grip Knee Push-up,https://fitnessprogramer.com/wp-content/uploads/2022/07/Close-Grip-Knee-Push-up.gif
Beginner,Machine,Close Grip Lat-Pulldown,https://fitnessprogramer.com/wp-content/uploads/2021/06/Close-Grip-Lat-Pulldown.gif
Beginner,Freeweight,Close Grip Z-Bar Curl,https://fitnessprogramer.com/wp-content/uploads/2021/06/Close-Grip-Z-Bar-Curl.gif
Beginner,Freeweight,Close-Grip Dumbbell Press,https://fitnessprogramer.com/wp-content/uploads/2021/10/Close-Grip-Dumbbell-Press.gif
Beginner,Freeweight,Close-grip Dumbbell Push-Up,https://fitnessprogramer.com/wp-content/uploads/2022/08/Close-grip-Dumbbell-Push-Up.gif
Beginner,Freeweight,Close-grip Incline Dumbbell Press,https://fitnessprogramer.com/wp-content/uploads/2021/09/Close-grip-Incline-Dumbbell-Press.gif
Intermediate,Barbell,Close-Grip Reverse Bench Press,https://fitnessprogramer.com/wp-content/uploads/2022/02/Barbell-Reverse-Close-grip-Bench-Press.gif
Beginner,Bodyweight,Cobra Push-up,https://fitnessprogramer.com/wp-content/uploads/2022/08/Cobra-Push-up.gif
Beginner,Bodyweight,Commando Pull-up,https://fitnessprogramer.com/wp-content/uploads/2022/01/commander-pull-up.gif
Beginner,Freeweight,Concentration Curl,https://fitnessprogramer.com/wp-content/uploads/2021/02/Concentration-Curl.gif
Beginner,Stretch,Corner Wall Stretch,https://fitnessprogramer.com/wp-content/uploads/2022/07/Corner-Wall-Stretch.gif
Beginner,Bodyweight,Cossack Squat,https://fitnessprogramer.com/wp-content/uploads/2021/05/Cossack-Squat.gif
Beginner,Yoga,Crab Pose,https://fitnessprogramer.com/wp-content/uploads/2022/05/Crab-Pose.gif
Beginner,Bodyweight,Crab Twist Toe Touch,https://fitnessprogramer.com/wp-content/uploads/2021/05/Crab-Twist-Toe-Touch.gif
Beginner,Bodyweight,Cross Arm Push-up,https://fitnessprogramer.com/wp-content/uploads/2021/09/Cross-Arm-Push-up.gif
Beginner,Bodyweight,Cross Body Mountain Climber,https://fitnessprogramer.com/wp-content/uploads/2022/07/Cross-Body-Mountain-Climber.gif
Beginner,Bodyweight,Cross Body Push-up,https://fitnessprogramer.com/wp-content/uploads/2022/02/Cross-Body-Push-up_Plyometric.gif
Beginner,Machine,Cross Cable Face Pull,https://fitnessprogramer.com/wp-content/uploads/2022/04/Cross-Cable-Face-Pull.gif
Beginner,Bodyweight,Cross Crunch,https://fitnessprogramer.com/wp-content/uploads/2022/07/Cross-Crunch.gif
Beginner,Stretch,Crouching Heel Back Calf Stretch,https://fitnessprogramer.com/wp-content/uploads/2022/02/Crouching-Heel-Back-Calf-Stretch.gif
Beginner,Bodyweight,Crunch With Leg Raise,https://fitnessprogramer.com/wp-content/uploads/2021/05/Crunch-With-Leg-Raise.gif
Beginner,Bodyweight,Crunches,https://fitnessprogramer.com/wp-content/uploads/2015/11/Crunch.gif
Beginner,Freeweight,Curtsy Lunge,https://fitnessprogramer.com/wp-content/uploads/2023/09/curtsy-lunge.gif
Beginner,Bodyweight,Curtsy Squat,https://fitnessprogramer.com/wp-content/uploads/2021/05/Curtsey-Squat.gif
Beginner,Yoga,Dandayamana Bharmanasana | Balancing Table Pose,https://fitnessprogramer.com/wp-content/uploads/2022/05/Dandayamana-Bharmanasana-Balancing-Table-Pose.gif
Beginner,Bodyweight,Dead Bug,https://fitnessprogramer.com/wp-content/uploads/2021/05/Dead-Bug.gif
Elite,Bodyweight,Dead Hang,https://fitnessprogramer.com/wp-content/uploads/2021/02/dead-hang.png
Intermediate,Barbell,Deadlift,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Deadlift.gif
Intermediate,Barbell,Decline Barbell Bench Press,https://fitnessprogramer.com/wp-content/uploads/2021/03/Decline-Barbell-Bench-Press.gif
Beginner,Freeweight,Decline Bench Dumbbell Lunge,https://fitnessprogramer.com/wp-content/uploads/2022/02/Decline-Bench-Dumbbell-Lunge.gif
Beginner,Machine,Decline Cable Fly,https://fitnessprogramer.com/wp-content/uploads/2021/06/Decline-Cable-Fly.gif
Beginner,Machine,Decline Chest Press Machine,https://fitnessprogramer.com/wp-content/uploads/2021/08/Decline-Chest-Press-Machine.gif
Intermediate,Barbell,Decline Close-Grip Bench To Skull Crusher,https://fitnessprogramer.com/wp-content/uploads/2022/01/Decline-Close-Grip-Bench-To-Skull-Crusher.gif
Beginner,Freeweight,Decline Dumbbell Fly,https://fitnessprogramer.com/wp-content/uploads/2021/06/Decline-Dumbbell-Fly.gif
Beginner,Freeweight,Decline Dumbbell Leg Curl,https://fitnessprogramer.com/wp-content/uploads/2022/10/Decline-Dumbbell-Leg-Curl.gif
Beginner,Freeweight,Decline Dumbbell Press,https://fitnessprogramer.com/wp-content/uploads/2021/02/Decline-Dumbbell-Press.gif
Beginner,Freeweight,Decline Dumbbell Triceps Extension,https://fitnessprogramer.com/wp-content/uploads/2022/02/Decline-Dumbbell-Triceps-Extension.gif
Beginner,Freeweight,Decline Hammer Press,https://fitnessprogramer.com/wp-content/uploads/2022/01/Decline-hammer-press.gif
Intermediate,Bodyweight,Decline Push-up,https://fitnessprogramer.com/wp-content/uploads/2015/07/Decline-Push-Up.gif
Beginner,Bodyweight,Decline Sit-up,https://fitnessprogramer.com/wp-content/uploads/2021/05/Decline-Sit-up.gif
Beginner,Bodyweight,Depth Jump to Hurdle Hop,https://fitnessprogramer.com/wp-content/uploads/2023/09/Depth-Jump-to-Hurdle-Hop.gif
Beginner,Yoga,Dhanurasana | Rocking Bow Pose,https://fitnessprogramer.com/wp-content/uploads/2022/05/Dhanurasana-Rocking-Bow-Pose.gif
Beginner,Stretch,Diagonal Neck Stretch,https://fitnessprogramer.com/wp-content/uploads/2021/07/Diagonal-Neck-Stretch.png
Beginner,Bodyweight,Dip Shrugs (Serratus Shrugs),https://fitnessprogramer.com/wp-content/uploads/2022/02/Dip-Shrugs.gif
Beginner,Bodyweight,Dips Between Chairs,https://fitnessprogramer.com/wp-content/uploads/2022/04/Dips-Between-Chairs.gif
Beginner,Bodyweight,Donkey Calf Raise,https://fitnessprogramer.com/wp-content/uploads/2021/09/Donkey-Calf-Raise.gif
Beginner,Machine,Donkey Kick on Leg Extension Machine,https://fitnessprogramer.com/wp-content/uploads/2022/02/Donkey-Kick-on-Leg-Extension-Machine.gif
Beginner,Machine,Donkey Kick on Smith Machine,https://fitnessprogramer.com/wp-content/uploads/2022/02/Donkey-Kick-on-Smith-Machine.gif
Beginner,Bodyweight,Donkey Kicks,https://fitnessprogramer.com/wp-content/uploads/2021/02/Donkey-Kicks.gif
Beginner,Stretch,Doorway Pec and Shoulder Stretch,https://fitnessprogramer.com/wp-content/uploads/2021/01/Doorway-chest-and-sshoulder-stretch.gif
Beginner,Freeweight,Double Arm Dumbbell Curl,https://fitnessprogramer.com/wp-content/uploads/2022/04/Double-Arm-Dumbbell-Curl.gif
Beginner,Machine,Double Cable Front Raise,https://fitnessprogramer.com/wp-content/uploads/2021/04/Double-Cable-Front-Raise.gif
Beginner,Machine,Double Cable Neutral Grip Lat Pulldown On Floor,https://fitnessprogramer.com/wp-content/uploads/2021/09/Double-Cable-Neutral-Grip-Lat-Pulldown-On-Floor.gif
Beginner,Bodyweight,Double Crunches,https://fitnessprogramer.com/wp-content/uploads/2021/02/Double-Crunches.gif
Beginner,Stretch,Double Leg Stretch,https://fitnessprogramer.com/wp-content/uploads/2021/05/Double-Leg-Stretch.gif
Beginner,Yoga,Double Pigeon Pose,https://fitnessprogramer.com/wp-content/uploads/2021/02/Double-Pigeon-Pose.gif
Beginner,Freeweight,Down to Up Twist |Gymstick,https://fitnessprogramer.com/wp-content/uploads/2022/05/Down-to-Up-Twist-Gymstick.gif
Elite,Bodyweight,Dragon Flag,https://fitnessprogramer.com/wp-content/uploads/2022/07/Leg-Raise-Dragon-Flag.gif
Beginner,Bodyweight,Drop Push-Up,https://fitnessprogramer.com/wp-content/uploads/2021/06/Drop-Push-Up.gif
Beginner,Bodyweight,Duck Walk,https://fitnessprogramer.com/wp-content/uploads/2021/09/Duck-Walk.gif
Beginner,Freeweight,Dumbbell 4 Way Lateral Raise,https://fitnessprogramer.com/wp-content/uploads/2022/02/Dumbbell-4-Ways-Lateral-Raise.gif
Beginner,Freeweight,Dumbbell 6 Way Raise,https://fitnessprogramer.com/wp-content/uploads/2022/02/Dumbbell-6-Ways-Raise.gif
Beginner,Freeweight,Dumbbell Alternate Preacher Curl,https://fitnessprogramer.com/wp-content/uploads/2022/02/Dumbbell-Alternate-Preacher-Curl.gif
Beginner,Freeweight,Dumbbell Bench Press,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Press.gif
Beginner,Freeweight,Dumbbell Bench Squat,https://fitnessprogramer.com/wp-content/uploads/2022/10/dumbbell-bench-squat.gif
Beginner,Freeweight,Dumbbell Bent Over Reverse Grip Row,https://fitnessprogramer.com/wp-content/uploads/2021/10/Dumbbell-Bent-Over-Reverse-Row.gif
Beginner,Freeweight,Dumbbell Bulgarian Split Squat,https://fitnessprogramer.com/wp-content/uploads/2021/05/Dumbbell-Bulgarian-Split-Squat.gif
Beginner,Freeweight,Dumbbell Burpees,https://fitnessprogramer.com/wp-content/uploads/2021/06/Dumbbell-Burpees.gif
Beginner,Freeweight,Dumbbell Chest Supported Lateral Raises,https://fitnessprogramer.com/wp-content/uploads/2022/02/Dumbbell-Chest-Supported-Lateral-Raises.gif
Beginner,Freeweight,Dumbbell Cossack Squat,https://fitnessprogramer.com/wp-content/uploads/2024/09/dumbbell-cossack-squat.gif
Beginner,Freeweight,Dumbbell Cuban External Rotation,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-Cuban-External-Rotation.gif
Beginner,Freeweight,Dumbbell Cuban Press,https://fitnessprogramer.com/wp-content/uploads/2021/04/dumbbell-cuban-press-.gif
Beginner,Freeweight,Dumbbell Curl,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Curl.gif
Beginner,Freeweight,Dumbbell Curl On Arm Blaster,https://fitnessprogramer.com/wp-content/uploads/2021/08/Dumbbell-Curl-On-Arm-Blaster.gif
Beginner,Freeweight,Dumbbell Deadlift,https://fitnessprogramer.com/wp-content/uploads/2023/09/dumbbell-deadlifts.gif
Beginner,Freeweight,Dumbbell Decline One-Arm Hammer Press,https://fitnessprogramer.com/wp-content/uploads/2021/09/Dumbbell-Decline-One-Arm-Hammer-Press.gif
Beginner,Freeweight,Dumbbell Devil Press,https://fitnessprogramer.com/wp-content/uploads/2022/07/Dumbbell-Devil-Press.gif
Beginner,Freeweight,Dumbbell Finger Curl,https://fitnessprogramer.com/wp-content/uploads/2022/09/Dumbbell-Finger-Curl.gif
Intermediate,Freeweight,Dumbbell Floor Wipers,https://fitnessprogramer.com/wp-content/uploads/2023/06/Dumbbell-Floor-Wipers.gif
Beginner,Freeweight,Dumbbell Fly,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Fly.gif
Beginner,Freeweight,Dumbbell Forward Leaning Lunge,https://fitnessprogramer.com/wp-content/uploads/2022/09/dumbbell-forward-leaning-lunge.gif
Beginner,Freeweight,Dumbbell Front Raise,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Front-Raise.gif
Beginner,Freeweight,Dumbbell Glute Bridge,https://fitnessprogramer.com/wp-content/uploads/2022/01/Dumbbell-Glute-Bridge.gif
Beginner,Freeweight,Dumbbell Goblet Curtsey Lunge,https://fitnessprogramer.com/wp-content/uploads/2022/02/Dumbbell-Goblet-Curtsey-Lunge.gif
Beginner,Freeweight,Dumbbell Goblet Squat,https://fitnessprogramer.com/wp-content/uploads/2023/01/Dumbbell-Goblet-Squat.gif
Beginner,Freeweight,Dumbbell Good Morning,https://fitnessprogramer.com/wp-content/uploads/2023/10/Dumbbell-Good-Morning.gif
Beginner,Freeweight,Dumbbell High Curl,https://fitnessprogramer.com/wp-content/uploads/2021/09/Dumbbell-High-Curl.gif
Beginner,Freeweight,Dumbbell Incline Shrug,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-Incline-Shrug.gif
Beginner,Freeweight,Dumbbell Incline T-Raise,https://fitnessprogramer.com/wp-content/uploads/2021/09/Dumbbell-Incline-T-Raise.gif
Beginner,Freeweight,Dumbbell Incline Two-Arm Extension,https://fitnessprogramer.com/wp-content/uploads/2021/06/Dumbbell-Incline-Two-Arm-Extension.gif
Beginner,Freeweight,Dumbbell Iron Cross,https://fitnessprogramer.com/wp-content/uploads/2022/07/Dumbbell-Iron-Cross.gif
Beginner,Freeweight,Dumbbell Jump Squat,https://fitnessprogramer.com/wp-content/uploads/2022/04/Dumbbell-Jump-Squat.gif
Beginner,Freeweight,Dumbbell Kickback,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Kickback.gif
Beginner,Freeweight,Dumbbell Lateral Raise,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Lateral-Raise.gif
Beginner,Freeweight,Dumbbell Lateral Step Up,https://fitnessprogramer.com/wp-content/uploads/2021/06/Dumbbell-Lateral-Step-Up.gif
Beginner,Freeweight,Dumbbell Lateral to Front Raise,https://fitnessprogramer.com/wp-content/uploads/2021/10/Dumbbell-Lateral-to-Front-Raise.gif
Beginner,Freeweight,Dumbbell Lunge,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Lunge.gif
Beginner,Freeweight,Dumbbell Lying External Shoulder Rotation,https://fitnessprogramer.com/wp-content/uploads/2021/09/Dumbbell-Lying-External-Shoulder-Rotation.gif
Beginner,Freeweight,Dumbbell Lying One-Arm Rear Lateral Raise,https://fitnessprogramer.com/wp-content/uploads/2021/06/Dumbbell-Lying-One-Arm-Rear-Lateral-Raise.gif
Beginner,Freeweight,Dumbbell Lying Rear Lateral Raise,https://fitnessprogramer.com/wp-content/uploads/2022/03/Dumbbell-Lying-Rear-Lateral-Raise.gif
Beginner,Freeweight,Dumbbell One Arm Reverse Grip Press,https://fitnessprogramer.com/wp-content/uploads/2022/01/Dumbbell-One-Arm-Reverse-Grip-Press.gif
Beginner,Freeweight,Dumbbell One Arm Shoulder Press,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-One-Arm-Shoulder-Press.gif
Elite,Freeweight,Dumbbell Pistol Squat,https://fitnessprogramer.com/wp-content/uploads/2022/09/Dumbell-Pistol-Squat.gif
Beginner,Freeweight,Dumbbell Power Clean,https://fitnessprogramer.com/wp-content/uploads/2022/07/Dumbbell-Power-Clean.gif
Beginner,Freeweight,Dumbbell Preacher Curl,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Preacher-Curl.gif
Beginner,Freeweight,Dumbbell Preacher Hammer (Scott) Curl,https://fitnessprogramer.com/wp-content/uploads/2022/02/Dumbbell-Preacher-Hammer-Curl.gif
Beginner,Freeweight,Dumbbell Pull Through,https://fitnessprogramer.com/wp-content/uploads/2022/10/Dumbbell-Pull-Through.gif
Beginner,Freeweight,Dumbbell Pullover,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Pullover.gif
Beginner,Freeweight,Dumbbell Pullover On Stability Ball,https://fitnessprogramer.com/wp-content/uploads/2021/08/Dumbbell-Pullover-On-Stability-Ball.gif
Beginner,Freeweight,Dumbbell Push Press,https://fitnessprogramer.com/wp-content/uploads/2023/10/Dumbbell-Push-Press.gif
